Size,Attempt,Time_ns,Comparisons,Swaps
1000,1,2946600,499500,996
1000,2,3148100,499500,987
1000,3,2801800,499500,991
1000,4,2808800,499500,989
1000,5,5317100,499500,997
1000,6,5257600,499500,995
1000,7,5442800,499500,998
1000,8,5422600,499500,994
1000,9,3072400,499500,992
1000,10,3167900,499500,989
1000,11,2918200,499500,995
1000,12,3008500,499500,995
1000,13,2922600,499500,994
1000,14,4928500,499500,993
1000,15,5479000,499500,993
1000,16,3530100,499500,995
1000,17,3053900,499500,992
1000,18,2890900,499500,996
1000,19,4400500,499500,992
1000,20,5514600,499500,995
2000,1,11291200,1999000,1990
2000,2,11853500,1999000,1994
2000,3,11150300,1999000,1992
2000,4,12416000,1999000,1993
2000,5,15766000,1999000,1993
2000,6,12036900,1999000,1996
2000,7,11681800,1999000,1993
2000,8,12396900,1999000,1994
2000,9,11795600,1999000,1993
2000,10,11758000,1999000,1988
2000,11,18530700,1999000,1990
2000,12,12680100,1999000,1992
2000,13,21688400,1999000,1993
2000,14,21781100,1999000,1992
2000,15,14571700,1999000,1989
2000,16,11952700,1999000,1993
2000,17,11862600,1999000,1994
2000,18,11601700,1999000,1994
2000,19,11688300,1999000,1989
2000,20,11770200,1999000,1990
4000,1,46971200,7998000,3992
4000,2,61834900,7998000,3991
4000,3,52308700,7998000,3993
4000,4,47477700,7998000,3991
4000,5,64185800,7998000,3989
4000,6,48382900,7998000,3992
4000,7,48763300,7998000,3990
4000,8,53093300,7998000,3995
4000,9,50466100,7998000,3992
4000,10,45949100,7998000,3990
4000,11,47607100,7998000,3988
4000,12,51454600,7998000,3990
4000,13,45970600,7998000,3988
4000,14,46353300,7998000,3987
4000,15,46221900,7998000,3990
4000,16,65098100,7998000,3995
4000,17,66687900,7998000,3992
4000,18,54335200,7998000,3993
4000,19,58760100,7998000,3987
4000,20,58838400,7998000,3991
8000,1,212032400,31996000,7987
8000,2,205971500,31996000,7991
8000,3,208074300,31996000,7988
8000,4,193707500,31996000,7993
8000,5,226624100,31996000,7989
8000,6,215587400,31996000,7988
8000,7,186475700,31996000,7993
8000,8,184797800,31996000,7992
8000,9,184401000,31996000,7992
8000,10,208174600,31996000,7990
8000,11,192268400,31996000,7992
8000,12,207545900,31996000,7991
8000,13,192547400,31996000,7993
8000,14,187116400,31996000,7989
8000,15,181492500,31996000,7995
8000,16,188925400,31996000,7996
8000,17,185736900,31996000,7992
8000,18,181264600,31996000,7995
8000,19,188410200,31996000,7992
8000,20,192089500,31996000,7994
16000,1,839614600,127992000,15992
16000,2,768104100,127992000,15991
16000,3,793311000,127992000,15985
16000,4,750640400,127992000,15991
16000,5,733542600,127992000,15991
16000,6,759470300,127992000,15996
16000,7,744498100,127992000,15983
16000,8,729670800,127992000,15994
16000,9,735558400,127992000,15993
16000,10,735718400,127992000,15987
16000,11,753086500,127992000,15991
16000,12,752372900,127992000,15991
16000,13,752376000,127992000,15988
16000,14,739523100,127992000,15991
16000,15,749452900,127992000,15993
16000,16,749354500,127992000,15993
16000,17,748076600,127992000,15988
16000,18,750508800,127992000,15992
16000,19,767376300,127992000,15993
16000,20,777740900,127992000,15985
32000,1,3079537600,511984000,31989
32000,2,2979230200,511984000,31988
32000,3,2989059100,511984000,31990
32000,4,3008063900,511984000,31995
32000,5,3014103100,511984000,31989
32000,6,2974916200,511984000,31988
32000,7,2995646900,511984000,31991
32000,8,3013415700,511984000,31988
32000,9,3012334000,511984000,31982
32000,10,3006563000,511984000,31992
32000,11,3023518800,511984000,31988
32000,12,3010106200,511984000,31987
32000,13,3018317900,511984000,31993
32000,14,3019421100,511984000,31984
32000,15,3015861500,511984000,31995
32000,16,3025446300,511984000,31986
32000,17,3035067000,511984000,31990
32000,18,3071948800,511984000,31986
32000,19,3073919600,511984000,31993
32000,20,2997765400,511984000,31988
64000,1,12050362100,2047968000,63989
64000,2,11903939800,2047968000,63988
64000,3,12005146800,2047968000,63991
64000,4,11994316100,2047968000,63989
64000,5,11996760600,2047968000,63989
64000,6,11589055900,2047968000,63990
64000,7,11477289600,2047968000,63990
64000,8,11447393700,2047968000,63984
64000,9,11439614600,2047968000,63989
64000,10,11460007600,2047968000,63984
64000,11,11425522700,2047968000,63988
64000,12,11393684800,2047968000,63992
64000,13,11436653400,2047968000,63992
64000,14,11448956500,2047968000,63987
64000,15,11404397000,2047968000,63990
64000,16,11386139000,2047968000,63991
64000,17,11387675700,2047968000,63992
64000,18,11420760700,2047968000,63985
64000,19,11391213700,2047968000,63989
64000,20,11376062300,2047968000,63992
128000,1,47870140400,8191936000,127986
128000,2,46770118300,8191936000,127983
128000,3,45794987100,8191936000,127990
128000,4,45659478500,8191936000,127984
128000,5,45847727700,8191936000,127986
128000,6,44978479400,8191936000,127980
128000,7,52000171700,8191936000,127990
128000,8,50037361700,8191936000,127986
128000,9,44951809400,8191936000,127992
128000,10,45028514400,8191936000,127987
128000,11,44896522000,8191936000,127984
128000,12,45128386600,8191936000,127986
128000,13,45122749700,8191936000,127986
128000,14,45195204600,8191936000,127987
128000,15,44973669000,8191936000,127988
128000,16,44943758600,8191936000,127982
128000,17,44946924700,8191936000,127983
128000,18,44936884800,8191936000,127985
128000,19,45067258500,8191936000,127990
128000,20,44931988100,8191936000,127985
